run_id	delta_neuron_count	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
1	500	1.50	0	1	0	1	delta_fix_norm/logs/run_1_dc500_dm1.5.log
2	500	1.75	0	1	0	1	delta_fix_norm/logs/run_2_dc500_dm1.75.log
3	500	2.00	0	1	0	1	delta_fix_norm/logs/run_3_dc500_dm2.0.log
4	500	2.25	0	1	0	1	delta_fix_norm/logs/run_4_dc500_dm2.25.log
5	500	2.50	1	1	0	0	delta_fix_norm/logs/run_5_dc500_dm2.5.log
6	500	2.75	1	1	0	0	delta_fix_norm/logs/run_6_dc500_dm2.75.log
7	500	3.00	1	1	0	0	delta_fix_norm/logs/run_7_dc500_dm3.0.log
8	500	3.25	1	1	0	0	delta_fix_norm/logs/run_8_dc500_dm3.25.log
9	500	3.50	1	1	0	0	delta_fix_norm/logs/run_9_dc500_dm3.5.log
10	500	3.75	1	1	0	0	delta_fix_norm/logs/run_10_dc500_dm3.75.log
11	500	4.00	1	1	0	0	delta_fix_norm/logs/run_11_dc500_dm4.0.log
12	750	1.50	0	1	0	1	delta_fix_norm/logs/run_12_dc750_dm1.5.log
13	750	1.75	0	1	0	1	delta_fix_norm/logs/run_13_dc750_dm1.75.log
14	750	2.00	0	1	0	1	delta_fix_norm/logs/run_14_dc750_dm2.0.log
15	750	2.25	1	1	0	0	delta_fix_norm/logs/run_15_dc750_dm2.25.log
16	750	2.50	1	1	0	0	delta_fix_norm/logs/run_16_dc750_dm2.5.log
17	750	2.75	1	1	0	0	delta_fix_norm/logs/run_17_dc750_dm2.75.log
18	750	3.00	1	1	0	0	delta_fix_norm/logs/run_18_dc750_dm3.0.log
19	750	3.25	1	1	0	0	delta_fix_norm/logs/run_19_dc750_dm3.25.log
20	750	3.50	1	1	0	0	delta_fix_norm/logs/run_20_dc750_dm3.5.log
21	750	3.75	1	1	0	0	delta_fix_norm/logs/run_21_dc750_dm3.75.log
22	750	4.00	1	1	0	0	delta_fix_norm/logs/run_22_dc750_dm4.0.log
23	1000	1.50	0	1	0	1	delta_fix_norm/logs/run_23_dc1000_dm1.5.log
