run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
1	250	250	1.50	1.50	0	0	0	1	double_250_output/logs/run_1_hc250_dc250_hm1.5_dm1.5.log
2	250	250	1.50	2.00	0	0	1	1	double_250_output/logs/run_2_hc250_dc250_hm1.5_dm2.0.log
3	250	250	1.50	2.50	0	0	0	1	double_250_output/logs/run_3_hc250_dc250_hm1.5_dm2.5.log
4	250	250	1.50	3.00	1	0	0	0	double_250_output/logs/run_4_hc250_dc250_hm1.5_dm3.0.log
5	250	250	1.50	3.50	1	0	0	0	double_250_output/logs/run_5_hc250_dc250_hm1.5_dm3.5.log
6	250	250	1.50	4.00	1	0	0	0	double_250_output/logs/run_6_hc250_dc250_hm1.5_dm4.0.log
7	250	250	1.50	4.50	1	0	0	0	double_250_output/logs/run_7_hc250_dc250_hm1.5_dm4.5.log
8	250	250	1.50	5.00	1	0	0	0	double_250_output/logs/run_8_hc250_dc250_hm1.5_dm5.0.log
9	250	250	2.00	1.50	0	0	0	1	double_250_output/logs/run_9_hc250_dc250_hm2.0_dm1.5.log
10	250	250	2.00	2.00	0	0	0	1	double_250_output/logs/run_10_hc250_dc250_hm2.0_dm2.0.log
11	250	250	2.00	2.50	1	1	1	1	double_250_output/logs/run_11_hc250_dc250_hm2.0_dm2.5.log
12	250	250	2.00	3.00	1	0	0	0	double_250_output/logs/run_12_hc250_dc250_hm2.0_dm3.0.log
13	250	250	2.00	3.50	1	0	0	0	double_250_output/logs/run_13_hc250_dc250_hm2.0_dm3.5.log
14	250	250	2.00	4.00	1	0	0	0	double_250_output/logs/run_14_hc250_dc250_hm2.0_dm4.0.log
15	250	250	2.00	4.50	1	0	0	0	double_250_output/logs/run_15_hc250_dc250_hm2.0_dm4.5.log
16	250	250	2.00	5.00	1	0	0	0	double_250_output/logs/run_16_hc250_dc250_hm2.0_dm5.0.log
17	250	250	2.50	1.50	0	0	0	1	double_250_output/logs/run_17_hc250_dc250_hm2.5_dm1.5.log
18	250	250	2.50	2.00	0	0	0	1	double_250_output/logs/run_18_hc250_dc250_hm2.5_dm2.0.log
19	250	250	2.50	2.50	1	0	0	0	double_250_output/logs/run_19_hc250_dc250_hm2.5_dm2.5.log
20	250	250	2.50	3.00	1	0	0	0	double_250_output/logs/run_20_hc250_dc250_hm2.5_dm3.0.log
21	250	250	2.50	3.50	1	0	0	0	double_250_output/logs/run_21_hc250_dc250_hm2.5_dm3.5.log
22	250	250	2.50	4.00	1	0	0	0	double_250_output/logs/run_22_hc250_dc250_hm2.5_dm4.0.log
23	250	250	2.50	4.50	1	0	0	0	double_250_output/logs/run_23_hc250_dc250_hm2.5_dm4.5.log
24	250	250	2.50	5.00	1	0	0	0	double_250_output/logs/run_24_hc250_dc250_hm2.5_dm5.0.log
25	250	250	3.00	1.50	0	1	0	1	double_250_output/logs/run_25_hc250_dc250_hm3.0_dm1.5.log
26	250	250	3.00	2.00	0	1	0	1	double_250_output/logs/run_26_hc250_dc250_hm3.0_dm2.0.log
27	250	250	3.00	2.50	0	0	0	1	double_250_output/logs/run_27_hc250_dc250_hm3.0_dm2.5.log
