run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	500	500	1.00	1.00	0	0
2	500	500	1.00	1.25	0	0
3	500	500	1.00	1.50	0	0
4	500	500	1.00	1.75	2	0
5	500	500	1.00	2.00	2	1
6	500	500	1.00	2.25	2	0
7	500	500	1.00	2.50	3	0
8	500	500	1.00	2.75	3	0
9	500	500	1.00	3.00	4	0
10	500	500	1.00	3.25	4	0
11	500	500	1.00	3.50	3	0
12	500	500	1.00	3.75	4	0
13	500	500	1.00	4.00	4	0
14	500	500	1.25	1.00	0	0
15	500	500	1.25	1.25	0	0
16	500	500	1.25	1.50	0	0
17	500	500	1.25	1.75	2	0
18	500	500	1.25	2.00	3	0
19	500	500	1.25	2.25	2	0
20	500	500	1.25	2.50	2	0
21	500	500	1.25	2.75	3	0
22	500	500	1.25	3.00	3	0
23	500	500	1.25	3.25	3	0
24	500	500	1.25	3.50	3	0
25	500	500	1.25	3.75	4	0
26	500	500	1.25	4.00	3	0
27	500	500	1.50	1.00	0	0
28	500	500	1.50	1.25	0	0
29	500	500	1.50	1.50	0	0
30	500	500	1.50	1.75	2	0
31	500	500	1.50	2.00	2	0
32	500	500	1.50	2.25	2	0
33	500	500	1.50	2.50	2	0
34	500	500	1.50	2.75	3	0
35	500	500	1.50	3.00	3	0
36	500	500	1.50	3.25	4	0
37	500	500	1.50	3.50	3	0
38	500	500	1.50	3.75	5	0
39	500	500	1.50	4.00	4	0
40	500	500	1.75	1.00	0	0
41	500	500	1.75	1.25	0	0
42	500	500	1.75	1.50	0	0
43	500	500	1.75	1.75	2	0
44	500	500	1.75	2.00	2	0
45	500	500	1.75	2.25	2	0
46	500	500	1.75	2.50	2	0
47	500	500	1.75	2.75	3	0
48	500	500	1.75	3.00	4	0
49	500	500	1.75	3.25	3	0
50	500	500	1.75	3.50	3	0
51	500	500	1.75	3.75	5	0
52	500	500	1.75	4.00	4	0
53	500	500	2.00	1.00	0	2
54	500	500	2.00	1.25	0	0
55	500	500	2.00	1.50	0	0
