run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	500	500	1.50	1.50	0	0
2	500	500	1.50	2.00	1	0
3	500	500	1.50	2.50	1	0
4	500	500	1.50	3.00	1	0
5	500	500	1.50	3.50	1	0
6	500	500	1.50	4.00	1	0
7	500	500	1.50	4.50	1	0
8	500	500	1.50	5.00	1	0
9	500	500	2.00	1.50	0	0
10	500	500	2.00	2.00	1	0
11	500	500	2.00	2.50	1	0
12	500	500	2.00	3.00	1	0
13	500	500	2.00	3.50	1	0
14	500	500	2.00	4.00	1	0
15	500	500	2.00	4.50	1	0
16	500	500	2.00	5.00	1	0
17	500	500	2.50	1.50	0	1
18	500	500	2.50	2.00	0	1
19	500	500	2.50	2.50	1	1
20	500	500	2.50	3.00	1	1
21	500	500	2.50	3.50	1	1
22	500	500	2.50	4.00	1	1
23	500	500	2.50	4.50	1	0
24	500	500	2.50	5.00	1	0
25	500	500	3.00	1.50	0	1
26	500	500	3.00	2.00	0	1
27	500	500	3.00	2.50	1	1
28	500	500	3.00	3.00	1	1
29	500	500	3.00	3.50	1	1
30	500	500	3.00	4.00	1	1
31	500	500	3.00	4.50	1	1
32	500	500	3.00	5.00	1	1
33	500	500	3.50	1.50	0	1
34	500	500	3.50	2.00	0	1
35	500	500	3.50	2.50	1	1
36	500	500	3.50	3.00	1	1
37	500	500	3.50	3.50	1	1
38	500	500	3.50	4.00	1	1
39	500	500	3.50	4.50	1	1
40	500	500	3.50	5.00	1	1
41	500	500	4.00	1.50	0	1
42	500	500	4.00	2.00	0	1
43	500	500	4.00	2.50	1	1
44	500	500	4.00	3.00	1	1
45	500	500	4.00	3.50	1	1
46	500	500	4.00	4.00	1	1
47	500	500	4.00	4.50	1	1
48	500	500	4.00	5.00	1	1
49	500	500	4.50	1.50	0	1
50	500	500	4.50	2.00	0	1
51	500	500	4.50	2.50	1	1
52	500	500	4.50	3.00	1	1
53	500	500	4.50	3.50	1	1
54	500	500	4.50	4.00	1	1
55	500	500	4.50	4.50	1	1
56	500	500	4.50	5.00	1	1
57	500	500	5.00	1.50	0	1
58	500	500	5.00	2.00	0	1
59	500	500	5.00	2.50	1	1
60	500	500	5.00	3.00	1	1
61	500	500	5.00	3.50	1	1
62	500	500	5.00	4.00	1	1
63	500	500	5.00	4.50	1	1
64	500	500	5.00	5.00	1	1
