run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	500	500	1.5	1.5	0	0
2	500	500	1.5	2.0	2	0
3	500	500	1.5	2.5	3	0
4	500	500	1.5	3.0	4	0
5	500	500	1.5	3.5	4	0
6	500	500	1.5	4.0	4	0
7	500	500	1.5	4.5	3	0
8	500	500	1.5	5.0	3	0
9	500	500	2.0	1.5	0	0
10	500	500	2.0	2.0	2	0
11	500	500	2.0	2.5	2	0
12	500	500	2.0	3.0	3	0
13	500	500	2.0	3.5	4	0
14	500	500	2.0	4.0	3	0
15	500	500	2.0	4.5	2	0
16	500	500	2.0	5.0	4	0
17	500	500	2.5	1.5	0	2
18	500	500	2.5	2.0	0	2
19	500	500	2.5	2.5	2	2
20	500	500	2.5	3.0	2	2
21	500	500	2.5	3.5	2	2
22	500	500	2.5	4.0	3	2
23	500	500	2.5	4.5	1	0
24	500	500	2.5	5.0	6	0
25	500	500	3.0	1.5	0	2
26	500	500	3.0	2.0	0	2
27	500	500	3.0	2.5	3	2
28	500	500	3.0	3.0	3	2
29	500	500	3.0	3.5	3	2
30	500	500	3.0	4.0	2	3
31	500	500	3.0	4.5	3	2
32	500	500	3.0	5.0	4	3
33	500	500	3.5	1.5	0	2
34	500	500	3.5	2.0	0	2
35	500	500	3.5	2.5	3	2
36	500	500	3.5	3.0	3	2
37	500	500	3.5	3.5	3	2
38	500	500	3.5	4.0	2	2
39	500	500	3.5	4.5	2	2
40	500	500	3.5	5.0	3	2
41	500	500	4.0	1.5	0	2
42	500	500	4.0	2.0	0	3
43	500	500	4.0	2.5	3	3
44	500	500	4.0	3.0	3	3
45	500	500	4.0	3.5	2	2
46	500	500	4.0	4.0	2	2
47	500	500	4.0	4.5	3	3
48	500	500	4.0	5.0	3	2
49	500	500	4.5	1.5	0	3
50	500	500	4.5	2.0	0	2
51	500	500	4.5	2.5	3	3
52	500	500	4.5	3.0	2	2
53	500	500	4.5	3.5	2	2
54	500	500	4.5	4.0	2	3
55	500	500	4.5	4.5	3	5
56	500	500	4.5	5.0	2	2
57	500	500	5.0	1.5	0	3
58	500	500	5.0	2.0	0	3
59	500	500	5.0	2.5	3	3
60	500	500	5.0	3.0	2	2
61	500	500	5.0	3.5	2	2
62	500	500	5.0	4.0	2	3
63	500	500	5.0	4.5	4	5
64	500	500	5.0	5.0	1	1
