run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
1	500	500	1.50	1.50	0	0	0	1	double_500_output/logs/run_1_hc500_dc500_hm1.5_dm1.5.log
2	500	500	1.50	2.00	1	0	0	0	double_500_output/logs/run_2_hc500_dc500_hm1.5_dm2.0.log
3	500	500	1.50	2.50	1	0	1	0	double_500_output/logs/run_3_hc500_dc500_hm1.5_dm2.5.log
4	500	500	1.50	3.00	1	0	0	0	double_500_output/logs/run_4_hc500_dc500_hm1.5_dm3.0.log
5	500	500	1.50	3.50	1	0	0	0	double_500_output/logs/run_5_hc500_dc500_hm1.5_dm3.5.log
6	500	500	1.50	4.00	1	0	0	0	double_500_output/logs/run_6_hc500_dc500_hm1.5_dm4.0.log
7	500	500	1.50	4.50	1	0	0	0	double_500_output/logs/run_7_hc500_dc500_hm1.5_dm4.5.log
8	500	500	1.50	5.00	1	0	0	0	double_500_output/logs/run_8_hc500_dc500_hm1.5_dm5.0.log
9	500	500	1.50	5.50	1	0	0	0	double_500_output/logs/run_9_hc500_dc500_hm1.5_dm5.5.log
10	500	500	1.50	6.00	1	0	0	0	double_500_output/logs/run_10_hc500_dc500_hm1.5_dm6.0.log
11	500	500	2.00	1.50	0	0	0	1	double_500_output/logs/run_11_hc500_dc500_hm2.0_dm1.5.log
12	500	500	2.00	2.00	1	0	0	0	double_500_output/logs/run_12_hc500_dc500_hm2.0_dm2.0.log
13	500	500	2.00	2.50	1	0	0	0	double_500_output/logs/run_13_hc500_dc500_hm2.0_dm2.5.log
14	500	500	2.00	3.00	1	0	0	0	double_500_output/logs/run_14_hc500_dc500_hm2.0_dm3.0.log
15	500	500	2.00	3.50	1	0	0	0	double_500_output/logs/run_15_hc500_dc500_hm2.0_dm3.5.log
16	500	500	2.00	4.00	1	0	0	0	double_500_output/logs/run_16_hc500_dc500_hm2.0_dm4.0.log
17	500	500	2.00	4.50	1	0	0	0	double_500_output/logs/run_17_hc500_dc500_hm2.0_dm4.5.log
18	500	500	2.00	5.00	1	0	0	0	double_500_output/logs/run_18_hc500_dc500_hm2.0_dm5.0.log
19	500	500	2.00	5.50	1	0	0	1	double_500_output/logs/run_19_hc500_dc500_hm2.0_dm5.5.log
20	500	500	2.00	6.00	1	0	0	1	double_500_output/logs/run_20_hc500_dc500_hm2.0_dm6.0.log
21	500	500	2.50	1.50	0	1	0	1	double_500_output/logs/run_21_hc500_dc500_hm2.5_dm1.5.log
22	500	500	2.50	2.00	0	1	0	1	double_500_output/logs/run_22_hc500_dc500_hm2.5_dm2.0.log
23	500	500	2.50	2.50	1	0	0	0	double_500_output/logs/run_23_hc500_dc500_hm2.5_dm2.5.log
24	500	500	2.50	3.00	1	0	0	0	double_500_output/logs/run_24_hc500_dc500_hm2.5_dm3.0.log
25	500	500	2.50	3.50	1	0	0	0	double_500_output/logs/run_25_hc500_dc500_hm2.5_dm3.5.log
26	500	500	2.50	4.00	1	0	0	0	double_500_output/logs/run_26_hc500_dc500_hm2.5_dm4.0.log
27	500	500	2.50	4.50	1	0	0	0	double_500_output/logs/run_27_hc500_dc500_hm2.5_dm4.5.log
28	500	500	2.50	5.00	1	1	0	0	double_500_output/logs/run_28_hc500_dc500_hm2.5_dm5.0.log
29	500	500	2.50	5.50	1	0	0	0	double_500_output/logs/run_29_hc500_dc500_hm2.5_dm5.5.log
30	500	500	2.50	6.00	1	0	0	1	double_500_output/logs/run_30_hc500_dc500_hm2.5_dm6.0.log
31	500	500	3.00	1.50	0	1	0	1	double_500_output/logs/run_31_hc500_dc500_hm3.0_dm1.5.log
32	500	500	3.00	2.00	0	1	0	1	double_500_output/logs/run_32_hc500_dc500_hm3.0_dm2.0.log
33	500	500	3.00	2.50	1	1	0	0	double_500_output/logs/run_33_hc500_dc500_hm3.0_dm2.5.log
34	500	500	3.00	3.00	1	1	0	0	double_500_output/logs/run_34_hc500_dc500_hm3.0_dm3.0.log
35	500	500	3.00	3.50	1	1	0	0	double_500_output/logs/run_35_hc500_dc500_hm3.0_dm3.5.log
36	500	500	3.00	4.00	1	0	0	0	double_500_output/logs/run_36_hc500_dc500_hm3.0_dm4.0.log
37	500	500	3.00	4.50	1	1	0	0	double_500_output/logs/run_37_hc500_dc500_hm3.0_dm4.5.log
38	500	500	3.00	5.00	1	1	0	0	double_500_output/logs/run_38_hc500_dc500_hm3.0_dm5.0.log
39	500	500	3.00	5.50	1	0	0	0	double_500_output/logs/run_39_hc500_dc500_hm3.0_dm5.5.log
40	500	500	3.00	6.00	1	1	0	0	double_500_output/logs/run_40_hc500_dc500_hm3.0_dm6.0.log
41	500	500	3.50	1.50	0	0	0	0	double_500_output/logs/run_41_hc500_dc500_hm3.5_dm1.5.log
