run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	200	200	2.75	2.75	2	0
2	200	250	2.75	2.75	2	0
3	200	300	2.75	2.75	2	0
4	200	350	2.75	2.75	2	0
5	200	400	2.75	2.75	2	0
6	200	450	2.75	2.75	2	0
7	200	500	2.75	2.75	2	0
8	200	550	2.75	2.75	2	2
9	200	600	2.75	2.75	2	2
10	200	650	2.75	2.75	4	2
11	200	700	2.75	2.75	2	2
12	200	750	2.75	2.75	3	0
13	200	800	2.75	2.75	2	0
14	200	850	2.75	2.75	5	0
15	200	900	2.75	2.75	2	0
16	200	950	2.75	2.75	2	0
17	200	1000	2.75	2.75	3	0
18	250	200	2.75	2.75	2	0
19	250	250	2.75	2.75	2	0
20	250	300	2.75	2.75	2	0
21	250	350	2.75	2.75	2	0
22	250	400	2.75	2.75	2	0
23	250	450	2.75	2.75	2	2
24	250	500	2.75	2.75	2	2
25	250	550	2.75	2.75	2	2
26	250	600	2.75	2.75	2	2
27	250	650	2.75	2.75	2	2
28	250	700	2.75	2.75	2	2
29	250	750	2.75	2.75	2	2
30	250	800	2.75	2.75	2	0
31	250	850	2.75	2.75	2	0
32	250	900	2.75	2.75	2	0
33	250	950	2.75	2.75	2	0
34	250	1000	2.75	2.75	3	0
35	850	200	2.75	2.75	0	2
36	850	250	2.75	2.75	0	2
37	850	300	2.75	2.75	0	2
38	850	350	2.75	2.75	2	2
39	850	400	2.75	2.75	3	3
40	850	450	2.75	2.75	2	2
41	850	500	2.75	2.75	2	2
42	850	550	2.75	2.75	3	2
43	850	600	2.75	2.75	2	2
44	850	650	2.75	2.75	2	2
45	850	700	2.75	2.75	3	2
46	850	750	2.75	2.75	2	2
47	850	800	2.75	2.75	2	2
48	850	850	2.75	2.75	2	2
49	850	900	2.75	2.75	1	1
50	850	950	2.75	2.75	2	2
51	850	1000	2.75	2.75	2	2
52	900	200	2.75	2.75	0	2
53	900	250	2.75	2.75	0	2
54	900	300	2.75	2.75	2	2
55	900	350	2.75	2.75	2	2
56	900	400	2.75	2.75	2	2
57	900	450	2.75	2.75	2	2
58	900	500	2.75	2.75	2	3
59	900	550	2.75	2.75	2	2
60	900	600	2.75	2.75	2	2
61	900	650	2.75	2.75	4	3
62	900	700	2.75	2.75	4	3
63	900	750	2.75	2.75	4	4
64	900	800	2.75	2.75	3	4
65	900	850	2.75	2.75	2	2
66	900	900	2.75	2.75	2	2
67	900	950	2.75	2.75	1	1
68	900	1000	2.75	2.75	3	2
69	950	200	2.75	2.75	0	2
70	950	250	2.75	2.75	0	4
71	950	300	2.75	2.75	2	2
72	950	350	2.75	2.75	2	2
73	950	400	2.75	2.75	2	2
74	950	450	2.75	2.75	2	2
75	950	500	2.75	2.75	2	2
76	950	550	2.75	2.75	3	2
77	950	600	2.75	2.75	2	3
78	950	650	2.75	2.75	2	3
79	950	700	2.75	2.75	3	3
80	950	750	2.75	2.75	2	2
81	950	800	2.75	2.75	3	2
82	950	850	2.75	2.75	2	2
83	950	900	2.75	2.75	2	2
84	950	950	2.75	2.75	2	2
85	950	1000	2.75	2.75	2	2
86	1000	200	2.75	2.75	0	4
87	1000	250	2.75	2.75	0	4
88	1000	300	2.75	2.75	2	2
89	1000	350	2.75	2.75	2	2
90	1000	400	2.75	2.75	2	3
91	1000	450	2.75	2.75	2	2
92	1000	500	2.75	2.75	2	2
93	1000	550	2.75	2.75	2	2
94	1000	600	2.75	2.75	2	2
95	1000	650	2.75	2.75	3	2
96	1000	700	2.75	2.75	3	2
97	1000	750	2.75	2.75	3	3
98	1000	800	2.75	2.75	3	3
99	1000	850	2.75	2.75	4	3
100	1000	900	2.75	2.75	2	2
101	1000	950	2.75	2.75	3	2
102	1000	1000	2.75	2.75	3	3
