run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	300	300	2.75	2.75	2	0
2	300	350	2.75	2.75	2	2
3	300	400	2.75	2.75	2	2
4	300	450	2.75	2.75	2	2
5	300	500	2.75	2.75	2	2
6	300	550	2.75	2.75	2	2
7	300	600	2.75	2.75	2	2
8	300	650	2.75	2.75	2	2
9	300	700	2.75	2.75	2	2
10	300	750	2.75	2.75	2	2
11	300	800	2.75	2.75	3	3
12	350	300	2.75	2.75	2	0
13	350	350	2.75	2.75	2	2
14	350	400	2.75	2.75	2	2
15	350	450	2.75	2.75	2	2
16	350	500	2.75	2.75	2	2
17	350	550	2.75	2.75	2	2
18	350	600	2.75	2.75	2	2
19	350	650	2.75	2.75	2	2
20	350	700	2.75	2.75	2	2
21	350	750	2.75	2.75	2	0
22	350	800	2.75	2.75	2	0
23	400	300	2.75	2.75	2	2
24	400	350	2.75	2.75	3	3
25	400	400	2.75	2.75	2	2
26	400	450	2.75	2.75	2	0
27	400	500	2.75	2.75	2	2
28	400	550	2.75	2.75	2	2
29	400	600	2.75	2.75	2	2
30	400	650	2.75	2.75	2	2
31	400	700	2.75	2.75	2	2
32	400	750	2.75	2.75	3	2
33	400	800	2.75	2.75	2	2
34	450	300	2.75	2.75	2	2
35	450	350	2.75	2.75	2	2
36	450	400	2.75	2.75	2	2
37	450	450	2.75	2.75	2	2
38	450	500	2.75	2.75	2	2
39	450	550	2.75	2.75	2	2
40	450	600	2.75	2.75	2	2
41	450	650	2.75	2.75	2	2
42	450	700	2.75	2.75	2	2
43	450	750	2.75	2.75	2	2
44	450	800	2.75	2.75	2	2
45	500	300	2.75	2.75	2	2
46	500	350	2.75	2.75	2	2
47	500	400	2.75	2.75	2	2
48	500	450	2.75	2.75	2	0
49	500	500	2.75	2.75	3	3
50	500	550	2.75	2.75	2	2
51	500	600	2.75	2.75	2	2
52	500	650	2.75	2.75	2	2
53	500	700	2.75	2.75	3	3
54	500	750	2.75	2.75	2	2
55	500	800	2.75	2.75	2	2
56	550	300	2.75	2.75	2	2
57	550	350	2.75	2.75	3	3
58	550	400	2.75	2.75	2	2
59	550	450	2.75	2.75	2	2
60	550	500	2.75	2.75	2	2
61	550	550	2.75	2.75	2	2
62	550	600	2.75	2.75	2	2
63	550	650	2.75	2.75	2	2
64	550	700	2.75	2.75	2	2
65	550	750	2.75	2.75	2	2
66	550	800	2.75	2.75	2	2
67	600	300	2.75	2.75	2	2
68	600	350	2.75	2.75	3	2
69	600	400	2.75	2.75	2	2
70	600	450	2.75	2.75	2	2
71	600	500	2.75	2.75	3	2
72	600	550	2.75	2.75	2	2
73	600	600	2.75	2.75	2	2
74	600	650	2.75	2.75	2	2
75	600	700	2.75	2.75	2	2
76	600	750	2.75	2.75	2	2
77	600	800	2.75	2.75	2	2
78	650	300	2.75	2.75	2	2
79	650	350	2.75	2.75	2	2
80	650	400	2.75	2.75	2	2
81	650	450	2.75	2.75	2	2
82	650	500	2.75	2.75	2	2
83	650	550	2.75	2.75	2	2
84	650	600	2.75	2.75	2	2
85	650	650	2.75	2.75	2	2
86	650	700	2.75	2.75	2	1
87	650	750	2.75	2.75	2	2
88	650	800	2.75	2.75	2	2
89	700	300	2.75	2.75	0	1
90	700	350	2.75	2.75	2	2
91	700	400	2.75	2.75	3	3
92	700	450	2.75	2.75	2	2
93	700	500	2.75	2.75	3	3
94	700	550	2.75	2.75	3	2
95	700	600	2.75	2.75	3	2
96	700	650	2.75	2.75	3	2
97	700	700	2.75	2.75	3	2
98	700	750	2.75	2.75	2	2
99	700	800	2.75	2.75	2	2
100	750	300	2.75	2.75	2	2
101	750	350	2.75	2.75	2	2
102	750	400	2.75	2.75	2	2
103	750	450	2.75	2.75	3	3
104	750	500	2.75	2.75	2	2
105	750	550	2.75	2.75	3	2
106	750	600	2.75	2.75	3	3
107	750	650	2.75	2.75	3	2
108	750	700	2.75	2.75	3	2
109	750	750	2.75	2.75	3	2
110	750	800	2.75	2.75	3	2
111	800	300	2.75	2.75	2	2
112	800	350	2.75	2.75	2	2
113	800	400	2.75	2.75	2	2
114	800	450	2.75	2.75	2	2
115	800	500	2.75	2.75	3	2
116	800	550	2.75	2.75	3	2
117	800	600	2.75	2.75	2	2
118	800	650	2.75	2.75	3	2
119	800	700	2.75	2.75	3	2
120	800	750	2.75	2.75	3	2
121	800	800	2.75	2.75	4	3
