run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	300	200	2.75	2.75	0	0
2	300	250	2.75	2.75	0	0
3	300	850	2.75	2.75	2	2
4	300	900	2.75	2.75	2	2
5	300	950	2.75	2.75	1	0
6	300	1000	2.75	2.75	3	2
7	350	200	2.75	2.75	2	2
8	350	250	2.75	2.75	2	0
9	350	850	2.75	2.75	2	0
10	350	900	2.75	2.75	2	2
11	350	950	2.75	2.75	2	0
12	350	1000	2.75	2.75	2	0
13	400	200	2.75	2.75	2	2
14	400	250	2.75	2.75	2	0
15	400	850	2.75	2.75	3	2
16	400	900	2.75	2.75	2	2
17	400	950	2.75	2.75	2	2
18	400	1000	2.75	2.75	2	2
19	450	200	2.75	2.75	2	2
20	450	250	2.75	2.75	2	2
21	450	850	2.75	2.75	1	1
22	450	900	2.75	2.75	2	2
23	450	950	2.75	2.75	2	2
24	450	1000	2.75	2.75	1	1
25	500	200	2.75	2.75	0	2
26	500	250	2.75	2.75	2	2
27	500	850	2.75	2.75	2	2
28	500	900	2.75	2.75	2	2
29	500	950	2.75	2.75	2	2
30	500	1000	2.75	2.75	1	1
31	550	200	2.75	2.75	0	2
32	550	250	2.75	2.75	0	2
33	550	850	2.75	2.75	2	2
34	550	900	2.75	2.75	1	1
35	550	950	2.75	2.75	2	2
36	550	1000	2.75	2.75	1	1
37	600	200	2.75	2.75	0	3
38	600	250	2.75	2.75	0	2
39	600	850	2.75	2.75	2	2
40	600	900	2.75	2.75	2	2
41	600	950	2.75	2.75	2	2
42	600	1000	2.75	2.75	1	1
43	650	200	2.75	2.75	0	2
44	650	250	2.75	2.75	0	2
45	650	850	2.75	2.75	2	2
46	650	900	2.75	2.75	2	2
47	650	950	2.75	2.75	3	3
48	650	1000	2.75	2.75	1	1
49	700	200	2.75	2.75	0	2
50	700	250	2.75	2.75	0	2
51	700	850	2.75	2.75	2	2
52	700	900	2.75	2.75	2	2
53	700	950	2.75	2.75	2	2
54	700	1000	2.75	2.75	2	2
