run_id	hilton_neuron_count	hilton_multiplier	hit_hilton	hit_marriott	hit_delta	hit_united	hit_four_seasons	hit_hawaiian	raw_log
1	1000	1.50	0	0	0	0	0	1	hilton_only_sweep_output/logs/run_1_hc1000_hm1.5.log
2	1000	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_2_hc1000_hm1.75.log
3	1000	2.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_3_hc1000_hm2.0.log
4	1000	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_4_hc1000_hm2.25.log
5	1000	2.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_5_hc1000_hm2.5.log
6	1000	2.75	0	0	0	0	0	0	hilton_only_sweep_output/logs/run_6_hc1000_hm2.75.log
7	1000	3.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_7_hc1000_hm3.0.log
8	1000	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_8_hc1000_hm3.25.log
9	1000	3.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_9_hc1000_hm3.5.log
10	1000	3.75	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_10_hc1000_hm3.75.log
11	1000	4.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_11_hc1000_hm4.0.log
12	1250	1.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_12_hc1250_hm1.5.log
13	1250	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_13_hc1250_hm1.75.log
14	1250	2.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_14_hc1250_hm2.0.log
15	1250	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_15_hc1250_hm2.25.log
16	1250	2.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_16_hc1250_hm2.5.log
17	1250	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_17_hc1250_hm2.75.log
18	1250	3.00	1	0	1	0	0	0	hilton_only_sweep_output/logs/run_18_hc1250_hm3.0.log
19	1250	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_19_hc1250_hm3.25.log
20	1250	3.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_20_hc1250_hm3.5.log
21	1250	3.75	0	0	0	0	0	1	hilton_only_sweep_output/logs/run_21_hc1250_hm3.75.log
22	1250	4.00	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_22_hc1250_hm4.0.log
23	1500	1.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_23_hc1500_hm1.5.log
24	1500	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_24_hc1500_hm1.75.log
25	1500	2.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_25_hc1500_hm2.0.log
26	1500	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_26_hc1500_hm2.25.log
27	1500	2.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_27_hc1500_hm2.5.log
28	1500	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_28_hc1500_hm2.75.log
29	1500	3.00	1	0	1	0	0	0	hilton_only_sweep_output/logs/run_29_hc1500_hm3.0.log
30	1500	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_30_hc1500_hm3.25.log
31	1500	3.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_31_hc1500_hm3.5.log
32	1500	3.75	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_32_hc1500_hm3.75.log
33	1500	4.00	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_33_hc1500_hm4.0.log
34	1750	1.50	0	0	0	0	1	1	hilton_only_sweep_output/logs/run_34_hc1750_hm1.5.log
35	1750	1.75	0	0	0	0	1	1	hilton_only_sweep_output/logs/run_35_hc1750_hm1.75.log
36	1750	2.00	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_36_hc1750_hm2.0.log
37	1750	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_37_hc1750_hm2.25.log
38	1750	2.50	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_38_hc1750_hm2.5.log
39	1750	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_39_hc1750_hm2.75.log
40	1750	3.00	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_40_hc1750_hm3.0.log
41	1750	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_41_hc1750_hm3.25.log
42	1750	3.50	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_42_hc1750_hm3.5.log
43	1750	3.75	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_43_hc1750_hm3.75.log
44	1750	4.00	1	0	0	0	0	0	hilton_only_sweep_output/logs/run_44_hc1750_hm4.0.log
45	2000	1.50	0	0	0	0	1	1	hilton_only_sweep_output/logs/run_45_hc2000_hm1.5.log
46	2000	1.75	0	0	0	0	1	1	hilton_only_sweep_output/logs/run_46_hc2000_hm1.75.log
