run_id	hilton_neuron_count	hilton_multiplier	hit_hilton	hit_marriott	hit_delta	hit_united	hit_four_seasons	hit_hawaiian	raw_log
1	250	1.5	0	0	0	0	1	1	hilton_only_sweep_output/logs/run_1_hc250_hm1.5.log
2	250	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_2_hc250_hm1.75.log
3	250	2.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_3_hc250_hm2.0.log
4	250	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_4_hc250_hm2.25.log
5	250	2.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_5_hc250_hm2.5.log
6	250	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_6_hc250_hm2.75.log
7	250	3.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_7_hc250_hm3.0.log
8	250	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_8_hc250_hm3.25.log
9	250	3.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_9_hc250_hm3.5.log
10	250	3.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_10_hc250_hm3.75.log
11	250	4.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_11_hc250_hm4.0.log
12	500	1.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_12_hc500_hm1.5.log
13	500	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_13_hc500_hm1.75.log
14	500	2.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_14_hc500_hm2.0.log
15	500	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_15_hc500_hm2.25.log
16	500	2.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_16_hc500_hm2.5.log
17	500	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_17_hc500_hm2.75.log
18	500	3.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_18_hc500_hm3.0.log
19	500	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_19_hc500_hm3.25.log
20	500	3.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_20_hc500_hm3.5.log
21	500	3.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_21_hc500_hm3.75.log
22	500	4.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_22_hc500_hm4.0.log
23	750	1.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_23_hc750_hm1.5.log
24	750	1.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_24_hc750_hm1.75.log
25	750	2.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_25_hc750_hm2.0.log
26	750	2.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_26_hc750_hm2.25.log
27	750	2.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_27_hc750_hm2.5.log
28	750	2.75	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_28_hc750_hm2.75.log
29	750	3.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_29_hc750_hm3.0.log
30	750	3.25	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_30_hc750_hm3.25.log
31	750	3.5	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_31_hc750_hm3.5.log
32	750	3.75	1	0	1	0	0	0	hilton_only_sweep_output/logs/run_32_hc750_hm3.75.log
33	750	4.0	1	0	0	0	0	1	hilton_only_sweep_output/logs/run_33_hc750_hm4.0.log
34	1000	1.5	0	0	0	0	0	1	hilton_only_sweep_output/logs/run_34_hc1000_hm1.5.log
