run_id	hilton_neuron_count	hilton_multiplier	hit_hilton	hit_marriott	hit_delta	hit_united	hit_four_seasons	hit_hawaiian	raw_log
1	1250	1.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_1_hc1250_hm1.5.log
2	1250	1.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_2_hc1250_hm1.75.log
3	1250	2.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_3_hc1250_hm2.0.log
4	1250	2.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_4_hc1250_hm2.25.log
5	1250	2.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_5_hc1250_hm2.5.log
6	1250	2.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_6_hc1250_hm2.75.log
7	1250	3.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_7_hc1250_hm3.0.log
8	1250	3.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_8_hc1250_hm3.25.log
9	1250	3.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_9_hc1250_hm3.5.log
10	1250	3.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_10_hc1250_hm3.75.log
11	1250	4.00	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_11_hc1250_hm4.0.log
12	1500	1.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_12_hc1500_hm1.5.log
13	1500	1.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_13_hc1500_hm1.75.log
14	1500	2.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_14_hc1500_hm2.0.log
15	1500	2.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_15_hc1500_hm2.25.log
16	1500	2.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_16_hc1500_hm2.5.log
17	1500	2.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_17_hc1500_hm2.75.log
18	1500	3.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_18_hc1500_hm3.0.log
19	1500	3.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_19_hc1500_hm3.25.log
20	1500	3.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_20_hc1500_hm3.5.log
21	1500	3.75	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_21_hc1500_hm3.75.log
22	1500	4.00	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_22_hc1500_hm4.0.log
23	1750	1.50	1	0	1	0	1	1	hilton_only_sweep_output_multi_last_token/logs/run_23_hc1750_hm1.5.log
24	1750	1.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_24_hc1750_hm1.75.log
25	1750	2.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_25_hc1750_hm2.0.log
26	1750	2.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_26_hc1750_hm2.25.log
27	1750	2.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_27_hc1750_hm2.5.log
28	1750	2.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_28_hc1750_hm2.75.log
29	1750	3.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_29_hc1750_hm3.0.log
30	1750	3.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_30_hc1750_hm3.25.log
31	1750	3.50	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_31_hc1750_hm3.5.log
32	1750	3.75	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_32_hc1750_hm3.75.log
33	1750	4.00	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_33_hc1750_hm4.0.log
34	2000	1.50	1	0	1	0	1	1	hilton_only_sweep_output_multi_last_token/logs/run_34_hc2000_hm1.5.log
35	2000	1.75	1	0	1	0	1	1	hilton_only_sweep_output_multi_last_token/logs/run_35_hc2000_hm1.75.log
36	2000	2.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_36_hc2000_hm2.0.log
37	2000	2.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_37_hc2000_hm2.25.log
38	2000	2.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_38_hc2000_hm2.5.log
39	2000	2.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_39_hc2000_hm2.75.log
40	2000	3.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_40_hc2000_hm3.0.log
41	2000	3.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_41_hc2000_hm3.25.log
42	2000	3.50	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_42_hc2000_hm3.5.log
43	2000	3.75	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_43_hc2000_hm3.75.log
44	2000	4.00	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_44_hc2000_hm4.0.log
45	2250	1.50	1	0	1	0	1	1	hilton_only_sweep_output_multi_last_token/logs/run_45_hc2250_hm1.5.log
46	2250	1.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_46_hc2250_hm1.75.log
47	2250	2.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_47_hc2250_hm2.0.log
48	2250	2.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_48_hc2250_hm2.25.log
49	2250	2.50	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_49_hc2250_hm2.5.log
50	2250	2.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_50_hc2250_hm2.75.log
51	2250	3.00	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_51_hc2250_hm3.0.log
52	2250	3.25	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_52_hc2250_hm3.25.log
53	2250	3.50	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_53_hc2250_hm3.5.log
54	2250	3.75	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_54_hc2250_hm3.75.log
55	2250	4.00	1	0	1	0	0	0	hilton_only_sweep_output_multi_last_token/logs/run_55_hc2250_hm4.0.log
56	2500	1.50	1	0	1	0	1	1	hilton_only_sweep_output_multi_last_token/logs/run_56_hc2500_hm1.5.log
57	2500	1.75	1	0	1	0	0	1	hilton_only_sweep_output_multi_last_token/logs/run_57_hc2500_hm1.75.log
