run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	100	100	2.50	2.50	2	0
2	100	150	2.50	2.50	4	0
3	100	200	2.50	2.50	9	0
4	100	250	2.50	2.50	11	0
5	100	300	2.50	2.50	13	0
6	100	350	2.50	2.50	11	0
7	100	400	2.50	2.50	13	0
8	100	450	2.50	2.50	30	0
9	100	500	2.50	2.50	66	0
10	100	550	2.50	2.50	7	0
11	100	600	2.50	2.50	12	0
12	100	650	2.50	2.50	13	0
13	100	700	2.50	2.50	23	0
14	100	750	2.50	2.50	84	0
15	100	800	2.50	2.50	15	0
16	100	850	2.50	2.50	59	0
17	100	900	2.50	2.50	18	0
18	100	950	2.50	2.50	18	0
19	100	1000	2.50	2.50	62	0
20	150	100	2.50	2.50	2	0
21	150	150	2.50	2.50	3	0
22	150	200	2.50	2.50	9	0
23	150	250	2.50	2.50	10	0
24	150	300	2.50	2.50	9	0
25	150	350	2.50	2.50	11	0
26	150	400	2.50	2.50	40	0
27	150	450	2.50	2.50	18	0
28	150	500	2.50	2.50	10	0
29	150	550	2.50	2.50	21	0
30	150	600	2.50	2.50	23	0
31	150	650	2.50	2.50	20	0
32	150	700	2.50	2.50	12	0
33	150	750	2.50	2.50	19	0
34	150	800	2.50	2.50	20	0
35	150	850	2.50	2.50	20	0
36	150	900	2.50	2.50	20	0
37	150	950	2.50	2.50	66	0
38	150	1000	2.50	2.50	15	0
39	200	100	2.50	2.50	3	0
40	200	150	2.50	2.50	4	0
41	200	200	2.50	2.50	7	0
42	200	250	2.50	2.50	8	0
43	200	300	2.50	2.50	15	0
44	200	350	2.50	2.50	12	0
45	200	400	2.50	2.50	11	0
46	200	450	2.50	2.50	18	0
47	200	500	2.50	2.50	17	0
48	200	550	2.50	2.50	13	0
49	200	600	2.50	2.50	43	0
50	200	650	2.50	2.50	18	0
51	200	700	2.50	2.50	17	0
52	200	750	2.50	2.50	26	0
53	200	800	2.50	2.50	17	0
54	200	850	2.50	2.50	16	0
55	200	900	2.50	2.50	15	0
56	200	950	2.50	2.50	11	0
57	200	1000	2.50	2.50	13	0
58	250	100	2.50	2.50	4	0
59	250	150	2.50	2.50	4	0
60	250	200	2.50	2.50	6	0
61	250	250	2.50	2.50	39	0
62	250	300	2.50	2.50	10	0
63	250	350	2.50	2.50	6	0
64	250	400	2.50	2.50	10	0
65	250	450	2.50	2.50	59	0
66	250	500	2.50	2.50	20	0
67	250	550	2.50	2.50	18	0
68	250	600	2.50	2.50	29	0
69	250	650	2.50	2.50	11	0
70	250	700	2.50	2.50	19	0
71	250	750	2.50	2.50	34	0
72	250	800	2.50	2.50	9	0
73	250	850	2.50	2.50	49	0
74	250	900	2.50	2.50	16	2
75	250	950	2.50	2.50	18	0
76	250	1000	2.50	2.50	28	0
77	300	100	2.50	2.50	4	0
78	300	150	2.50	2.50	3	0
79	300	200	2.50	2.50	5	0
80	300	250	2.50	2.50	8	0
81	300	300	2.50	2.50	6	0
82	300	350	2.50	2.50	15	0
83	300	400	2.50	2.50	6	0
84	300	450	2.50	2.50	16	0
85	300	500	2.50	2.50	17	0
86	300	550	2.50	2.50	25	0
87	300	600	2.50	2.50	18	0
88	300	650	2.50	2.50	20	0
89	300	700	2.50	2.50	36	0
90	300	750	2.50	2.50	7	0
91	300	800	2.50	2.50	23	0
92	300	850	2.50	2.50	28	1
93	300	900	2.50	2.50	21	0
94	300	950	2.50	2.50	33	0
95	300	1000	2.50	2.50	22	0
96	350	100	2.50	2.50	2	0
97	350	150	2.50	2.50	5	0
98	350	200	2.50	2.50	9	0
99	350	250	2.50	2.50	7	0
100	350	300	2.50	2.50	43	0
101	350	350	2.50	2.50	13	0
102	350	400	2.50	2.50	12	0
103	350	450	2.50	2.50	8	0
104	350	500	2.50	2.50	43	0
105	350	550	2.50	2.50	54	0
106	350	600	2.50	2.50	29	0
107	350	650	2.50	2.50	54	0
108	350	700	2.50	2.50	53	0
109	350	750	2.50	2.50	9	0
110	350	800	2.50	2.50	43	0
111	350	850	2.50	2.50	69	0
112	350	900	2.50	2.50	75	1
113	350	950	2.50	2.50	28	1
