run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton
1	100	100	2.00	2.00	2	0
2	100	150	2.00	2.00	2	1
3	100	200	2.00	2.00	1	0
4	100	250	2.00	2.00	1	0
5	100	300	2.00	2.00	1	0
6	100	350	2.00	2.00	1	1
7	100	400	2.00	2.00	2	0
8	100	450	2.00	2.00	2	0
9	100	500	2.00	2.00	2	0
10	100	550	2.00	2.00	2	0
11	100	600	2.00	2.00	5	0
12	100	650	2.00	2.00	3	0
13	100	700	2.00	2.00	1	1
14	100	750	2.00	2.00	1	0
15	100	800	2.00	2.00	3	0
16	100	850	2.00	2.00	2	0
17	100	900	2.00	2.00	6	0
18	100	950	2.00	2.00	3	0
19	100	1000	2.00	2.00	4	0
20	150	100	2.00	2.00	0	0
21	150	150	2.00	2.00	1	1
22	150	200	2.00	2.00	1	1
23	150	250	2.00	2.00	1	1
24	150	300	2.00	2.00	1	1
25	150	350	2.00	2.00	1	1
26	150	400	2.00	2.00	3	0
27	150	450	2.00	2.00	2	0
28	150	500	2.00	2.00	1	0
29	150	550	2.00	2.00	4	0
30	150	600	2.00	2.00	2	0
